TipusCasData,MunicipiDescripcio,SexeDescripcio,TipusCasDescripcio,NumCasos
01/01/2021,BADALONA,Dona,Positiu PCR,5
01/01/2021,BADALONA,Dona,Positiu TAR,12
01/01/2021,BADALONA,Dona,Positiu per ELISA,1
01/01/2021,BADALONA,Home,Positiu PCR,4
01/01/2021,BADALONA,Home,Positiu TAR,18
01/01/2021,BADALONA,Home,Positiu per ELISA,1
01/01/2021,BARCELONA,Dona,PCR probable,1
01/01/2021,BARCELONA,Dona,Positiu PCR,56
01/01/2021,BARCELONA,Dona,Positiu TAR,63
01/01/2021,BARCELONA,Dona,Positiu per ELISA,10
01/01/2021,BARCELONA,Dona,Positiu per Test Ràpid,1
01/01/2021,BARCELONA,Home,Positiu PCR,45
01/01/2021,BARCELONA,Home,Positiu TAR,56
01/01/2021,BARCELONA,Home,Positiu per ELISA,13
01/01/2021,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,1
01/01/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,5
01/01/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,8
01/01/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu per ELISA,1
01/01/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,3
01/01/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,9
01/01/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu per ELISA,1
01/01/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,2
01/01/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,3
01/01/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu per ELISA,1
01/01/2021,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,1
01/01/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,3
01/01/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,5
01/01/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu per ELISA,1
01/01/2021,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,4
01/01/2021,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,6
01/01/2021,SANTA COLOMA DE GRAMENET,Home,Positiu per ELISA,1
01/01/2022,BADALONA,Dona,Positiu PCR,20
01/01/2022,BADALONA,Dona,Positiu TAR,129
01/01/2022,BADALONA,Dona,Positiu per Test Ràpid,2
01/01/2022,BADALONA,Home,Positiu PCR,15
01/01/2022,BADALONA,Home,Positiu TAR,117
01/01/2022,BARCELONA,Dona,Positiu PCR,118
01/01/2022,BARCELONA,Dona,Positiu TAR,949
01/01/2022,BARCELONA,Home,Positiu PCR,101
01/01/2022,BARCELONA,Home,Positiu TAR,842
01/01/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,17
01/01/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,108
01/01/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,11
01/01/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,115
01/01/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,3
01/01/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,20
01/01/2022,SANT ADRIÀ DE BESÒS,Home,Positiu PCR,5
01/01/2022,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,37
01/01/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,5
01/01/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,65
01/01/2022,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,6
01/01/2022,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,71
01/02/2021,BADALONA,Dona,Positiu PCR,47
01/02/2021,BADALONA,Dona,Positiu TAR,31
01/02/2021,BADALONA,Dona,Positiu per ELISA,6
01/02/2021,BADALONA,Home,Positiu PCR,41
01/02/2021,BADALONA,Home,Positiu TAR,25
01/02/2021,BADALONA,Home,Positiu per ELISA,6
01/02/2021,BARCELONA,Dona,PCR probable,2
01/02/2021,BARCELONA,Dona,Positiu PCR,184
01/02/2021,BARCELONA,Dona,Positiu TAR,252
01/02/2021,BARCELONA,Dona,Positiu per ELISA,29
01/02/2021,BARCELONA,Dona,Positiu per Test Ràpid,3
01/02/2021,BARCELONA,Home,PCR probable,5
01/02/2021,BARCELONA,Home,Positiu PCR,146
01/02/2021,BARCELONA,Home,Positiu TAR,226
01/02/2021,BARCELONA,Home,Positiu per ELISA,18
01/02/2021,BARCELONA,Home,Positiu per Test Ràpid,5
01/02/2021,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,1
01/02/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,55
01/02/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,47
01/02/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,51
01/02/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,48
01/02/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu per ELISA,1
01/02/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu per Test Ràpid,1
01/02/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,5
01/02/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,7
